material_number	material_number_text	brand	product_area	core_segment	component	component_text	manufactoring_location	characteristic_value	material_weight	packaging_code	packaging_category
50858238	KWB-  3ER SET	PRL	PA2	Recip Saw Blades	6035703B35	Face seal blister card KWB-  3ER SET	NiP (St. Niklaus)	MCB 450G/M2	8.6	PCode_334699	Unassigned
50858238	KWB-  3ER SET	PRL	PA2	Recip Saw Blades	6035703B35	Face seal blister card KWB-  3ER SET	NiP (St. Niklaus)	MCB 450G/M2	8.6	PCode_334699	Unassigned
50858238	KWB-  3ER SET	PRL	PA2	Recip Saw Blades	6035738420	Corrugated carton	NiP (St. Niklaus)	WELLPAPPE, QUAL		PCode_304109	Unassigned
50858238	KWB-  3ER SET	PRL	PA2	Recip Saw Blades	6035940565	Label               SB	NiP (St. Niklaus)	WOOD FREE	0.54	PCode_440854	Unassigned
50858238	KWB-  3ER SET	PRL	PA2	Recip Saw Blades	6035834905	Blister Hood	NiP (St. Niklaus)	PET-GAG	8.0	PCode_802021	Unassigned
50858238	KWB-  3ER SET	PRL	PA2	Recip Saw Blades	6035834905	Blister Hood	NiP (St. Niklaus)	PET-GAG	8.0	PCode_802021	Unassigned
52003902	KWB-  5ER SET	PRL	PA2	Recip Saw Blades	6035837322	Blister Hood	NiP (St. Niklaus)	PET-GAG	16.0	PCode_802021	Unassigned
52003902	KWB-  5ER SET	PRL	PA2	Recip Saw Blades	6035837322	Blister Hood	NiP (St. Niklaus)	PET-GAG	16.0	PCode_802021	Unassigned
52003902	KWB-  5ER SET	PRL	PA2	Recip Saw Blades	6035738667	Corrugated carton	NiP (St. Niklaus)	CORRUGATED	80.0	PCode_304109	Unassigned
52003902	KWB-  5ER SET	PRL	PA2	Recip Saw Blades	6035940565	Label               SB	NiP (St. Niklaus)	WOOD FREE	0.54	PCode_440854	Unassigned
52003902	KWB-  5ER SET	PRL	PA2	Recip Saw Blades	6035822B67	Face seal blister card KWB-  5ER SET	NiP (St. Niklaus)	MCB-GT2	21.7	PCode_334699	Unassigned
52003902	KWB-  5ER SET	PRL	PA2	Recip Saw Blades	6035822B67	Face seal blister card KWB-  5ER SET	NiP (St. Niklaus)	MCB-GT2	21.7	PCode_334699	Unassigned
33062928	DEX-  3ER SET OMT	PRB	PA2	Starlock	6035738117	Corrugated carton	NiP (St. Niklaus)	WELLPAPPE 336S		PCode_304109	Unassigned
33062928	DEX-  3ER SET OMT	PRB	PA2	Starlock	6035940565	Label               SB	NiP (St. Niklaus)	WOOD FREE	0.54	PCode_440854	Unassigned
33062928	DEX-  3ER SET OMT	PRB	PA2	Starlock	6035822741	Face seal blister card DEX-  3ER SET WOO	NiP (St. Niklaus)	MCB/GT2	13.5	PCode_334699	Unassigned
33062928	DEX-  3ER SET OMT	PRB	PA2	Starlock	6035822741	Face seal blister card DEX-  3ER SET WOO	NiP (St. Niklaus)	MCB/GT2	13.5	PCode_334699	Unassigned
20424038	DEX-  3ER SET OMT	PRB	PA2	Starlock	6035738117	Corrugated carton	NiP (St. Niklaus)	WELLPAPPE 336S		PCode_304109	Unassigned
20424038	DEX-  3ER SET OMT	PRB	PA2	Starlock	6035940565	Label               SB	NiP (St. Niklaus)	WOOD FREE	0.54	PCode_440854	Unassigned
20424038	DEX-  3ER SET OMT	PRB	PA2	Starlock	6035822742	Face seal blister card DEX-  3ER SET TIL	NiP (St. Niklaus)	MCB/GT2	13.5	PCode_334699	Unassigned
20424038	DEX-  3ER SET OMT	PRB	PA2	Starlock	6035822742	Face seal blister card DEX-  3ER SET TIL	NiP (St. Niklaus)	MCB/GT2	13.5	PCode_334699	Unassigned
72856854	DEX-  5ER SET OMT	PRB	PA2	Starlock	6035850823	Insert              OMT 10ER SET	NiP (St. Niklaus)	PS	53.2	PCode_574213	Unassigned
72856854	DEX-  5ER SET OMT	PRB	PA2	Starlock	6035722D75	Cassette	NiP (St. Niklaus)	PP	245.0	PCode_810606	Unassigned
72856854	DEX-  5ER SET OMT	PRB	PA2	Starlock	6035940565	Label               SB	NiP (St. Niklaus)	WOOD FREE	0.54	PCode_440854	Unassigned
72856854	DEX-  5ER SET OMT	PRB	PA2	Starlock	6035911368	Label               DEX-  5ER SET OMT	NiP (St. Niklaus)	PP	3.5	PCode_440854	Unassigned
72856854	DEX-  5ER SET OMT	PRB	PA2	Starlock	6035911367	Label               DEX-  5ER SET OMT	NiP (St. Niklaus)	PP60	3.6	PCode_440854	Unassigned
98640263	NO DESCRIPTION	BOT	PA5	Screw Driving & Sets	6801017003	Label               Adhesive-Label Set C	Buyout(all entities)	PAPER	2.0	PCode_657179	Unassigned
98640263	NO DESCRIPTION	BOT	PA5	Screw Driving & Sets	6035587403	Corrugated carton	Buyout(all entities)	CORRUGATED	500.0	PCode_304109	Unassigned
98640263	NO DESCRIPTION	BOT	PA5	Screw Driving & Sets	6035587401	Blister hood	Buyout(all entities)	PET	20.0	PCode_802021	Unassigned
98640263	NO DESCRIPTION	BOT	PA5	Screw Driving & Sets	6035587402	Insert card	Buyout(all entities)	CCWB	5.0	PCode_865131	Unassigned
50504843	GBM LOCHSÄGE 71	BOT	PA2	Holesaws	6035940770	Adhesive Label	Krk (ECF Krsko)	WOOD FREE	0.35	PCode_451168	Unassigned
66863068	AKTIONS-SET	BOT	PA5	Screw Driving & Sets	6035821JZ4	Insert Card	Buyout(all entities)	CCNB	8.0	PCode_312214	Unassigned
25254000	AL 1830 CV	BOT	PA5	System AC+Others	6035911H97	Label	McP (Miskolc)	81C/PAP	0.78	PCode_440854	Unassigned
21951393	AL 1880 CV	BOT	PA5	System AC+Others	6035911K49	Label	McP (Miskolc)	81C/PAP	0.78	PCode_440854	Unassigned
49775051	GAL 18V-40	BOT	PA5	System AC+Others	6035911H94	Label	McP (Miskolc)	81C/PAP	0.78	PCode_440854	Unassigned
49564626	GAL 18V-160 C	BOT	PA5	System AC+Others	6035911H96	Label	McP (Miskolc)	81C/PAP	0.78	PCode_440854	Unassigned
10502542	PBA 12V 2,5Ah O-B	BOT	PA5	System AC+Others	6035765P70	Folding Carton	McP (Miskolc)	PAPER/CARDBOARD	49.0	PCode_221631	Unassigned
40326544	PBA 18V 2,5Ah W-B	BOT	PA5	System AC+Others	6035765P71	Folding Carton	McP (Miskolc)	PAPER/CARDBOARD	27.9	PCode_221631	Unassigned
73930986	PBA 18V 4,0Ah W-C	BOT	PA5	System AC+Others	6035765P72	Corrugated carton	McP (Miskolc)	CORRUGATED	39.0	PCode_304109	Unassigned
32786252	PBA 18V 6,0Ah W-C	BOT	PA5	System AC+Others	6035765P73	Corrugated carton	McP (Miskolc)	CORRUGATED	39.0	PCode_304109	Unassigned
69520919	25MM H6	BOT	PA5	Screw Driving & Sets	6035578059	Tube                QP 035 120 A	Buyout(all entities)	PP	15.1	PCode_271992	Unassigned
69520919	25MM H6	BOT	PA5	Screw Driving & Sets	6035578061	Plastic Tube Bottom Part QP 035 120 I	Buyout(all entities)	PP	15.0	PCode_252685	Unassigned
82438399	49.2MM PH3	BOT	PA5	Screw Driving & Sets	6035578060	Tube                DP 035 080 I	Buyout(all entities)	PP	10.6	PCode_271992	Unassigned
93461082	49.2MM PZ1	BOT	PA5	Screw Driving & Sets	6035578060	Tube                DP 035 080 I	Buyout(all entities)	PP	10.6	PCode_271992	Unassigned
62260010	49.2MM PZ3	BOT	PA5	Screw Driving & Sets	6035578060	Tube                DP 035 080 I	Buyout(all entities)	PP	10.6	PCode_271992	Unassigned
79858282	152.4MM PH1	BOT	PA5	Screw Driving & Sets	6035578060	Tube                DP 035 080 I	Buyout(all entities)	PP	10.6	PCode_271992	Unassigned
82794180	89MM PZ3	BOT	PA5	Screw Driving & Sets	6035578060	Tube                DP 035 080 I	Buyout(all entities)	PP	10.6	PCode_271992	Unassigned
28272046	45MM PZ2-PZ3	BOT	PA5	Screw Driving & Sets	6035578060	Tube                DP 035 080 I	Buyout(all entities)	PP	10.6	PCode_271992	Unassigned
33363437	Heypc 5*110	PRL	PA1	HammerDrillingsmall	F00Y214616	Clip                NO DESCRIPTION	Krk (ECF Krsko)	HDPE 02	5.27	PCode_351468	Unassigned
33363437	Heypc 5*110	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
65373790	Heypc 5*160	PRL	PA1	HammerDrillingsmall	F00Y214616	Clip                NO DESCRIPTION	Krk (ECF Krsko)	HDPE 02	5.27	PCode_351468	Unassigned
65373790	Heypc 5*160	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
96009294	Heypc 6*110	PRL	PA1	HammerDrillingsmall	F00Y214616	Clip                NO DESCRIPTION	Krk (ECF Krsko)	HDPE 02	5.27	PCode_351468	Unassigned
96009294	Heypc 6*110	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
85088820	Heypc 6*160	PRL	PA1	HammerDrillingsmall	F00Y214616	Clip                NO DESCRIPTION	Krk (ECF Krsko)	HDPE 02	5.27	PCode_351468	Unassigned
85088820	Heypc 6*160	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
17117290	Heypc 6*210	PRL	PA1	HammerDrillingsmall	F00Y214616	Clip                NO DESCRIPTION	Krk (ECF Krsko)	HDPE 02	5.27	PCode_351468	Unassigned
17117290	Heypc 6*210	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
98271790	Heypc 8*110	PRL	PA1	HammerDrillingsmall	F00Y214616	Clip                NO DESCRIPTION	Krk (ECF Krsko)	HDPE 02	5.27	PCode_351468	Unassigned
98271790	Heypc 8*110	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
52038543	Heypc 8*160	PRL	PA1	HammerDrillingsmall	F00Y214616	Clip                NO DESCRIPTION	Krk (ECF Krsko)	HDPE 02	5.27	PCode_351468	Unassigned
52038543	Heypc 8*160	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
97613229	Heypc 8*210	PRL	PA1	HammerDrillingsmall	F00Y214616	Clip                NO DESCRIPTION	Krk (ECF Krsko)	HDPE 02	5.27	PCode_351468	Unassigned
97613229	Heypc 8*210	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
33145225	Heypc 10*110	PRL	PA1	HammerDrillingsmall	F00Y214616	Clip                NO DESCRIPTION	Krk (ECF Krsko)	HDPE 02	5.27	PCode_351468	Unassigned
33145225	Heypc 10*110	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
37952674	Heypc 10*160	PRL	PA1	HammerDrillingsmall	F00Y214616	Clip                NO DESCRIPTION	Krk (ECF Krsko)	HDPE 02	5.27	PCode_351468	Unassigned
37952674	Heypc 10*160	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
17926638	Heypc 10*210	PRL	PA1	HammerDrillingsmall	F00Y214616	Clip                NO DESCRIPTION	Krk (ECF Krsko)	HDPE 02	5.27	PCode_351468	Unassigned
17926638	Heypc 10*210	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
25752584	Heypc 12*160	PRL	PA1	HammerDrillingsmall	F00Y214616	Clip                NO DESCRIPTION	Krk (ECF Krsko)	HDPE 02	5.27	PCode_351468	Unassigned
25752584	Heypc 12*160	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
51410654	Heypc 12*210	PRL	PA1	HammerDrillingsmall	F00Y214616	Clip                NO DESCRIPTION	Krk (ECF Krsko)	HDPE 02	5.27	PCode_351468	Unassigned
51410654	Heypc 12*210	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
37791926	Heypc 14*210	PRL	PA1	HammerDrillingsmall	F00Y214616	Clip                NO DESCRIPTION	Krk (ECF Krsko)	HDPE 02	5.27	PCode_351468	Unassigned
37791926	Heypc 14*210	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
15140777	Heypc 16*210	PRL	PA1	HammerDrillingsmall	F00Y214616	Clip                NO DESCRIPTION	Krk (ECF Krsko)	HDPE 02	5.27	PCode_351468	Unassigned
15140777	Heypc 16*210	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
13664883	Heypc5pcs12*210	PRL	PA1	HammerDrillingsmall	6035834985	Plastic Tube Bottom Part QP 035 200 I	Krk (ECF Krsko)	PP	24.6	PCode_252685	Unassigned
13664883	Heypc5pcs12*210	PRL	PA1	HammerDrillingsmall	6035910900	Label	Krk (ECF Krsko)	PAPER	0.23	PCode_440854	Unassigned
13664883	Heypc5pcs12*210	PRL	PA1	HammerDrillingsmall	6035834483	Plastic Tube Top Part QP 035 080 A	Krk (ECF Krsko)	PP	11.2	PCode_439983	Unassigned
48741339	5 5x200/265	PRL	PA1	HammerDrillingsmall	6035900275	Hangtag             SDS plus 27mm black	Krk (ECF Krsko)	COPOLYMER ADMIXTURE	4.03	PCode_683060	Unassigned
48741339	5 5x200/265	PRL	PA1	HammerDrillingsmall	6035948W64	Label	Krk (ECF Krsko)	PAPER	0.14	PCode_440854	Unassigned
30628798	5 6x250/315	PRL	PA1	HammerDrillingsmall	6035900275	Hangtag             SDS plus 27mm black	Krk (ECF Krsko)	COPOLYMER ADMIXTURE	4.03	PCode_683060	Unassigned
30628798	5 6x250/315	PRL	PA1	HammerDrillingsmall	6035948W64	Label	Krk (ECF Krsko)	PAPER	0.14	PCode_440854	Unassigned
10958424	HBM- BULK ALT 6-38	PRL	PA5	Metal Drill Bits	6035725078	Cardboard sleeve	NiP (St. Niklaus)	CORRUGATED	250.0	PCode_232789	Unassigned
10958424	HBM- BULK ALT 6-38	PRL	PA5	Metal Drill Bits	6035940565	Label               SB	NiP (St. Niklaus)	WOOD FREE	0.54	PCode_440854	Unassigned
12463540	HBM- BULK ALT 5-21	PRL	PA5	Metal Drill Bits	6035940565	Label               SB	NiP (St. Niklaus)	WOOD FREE	0.54	PCode_440854	Unassigned
20161776	NS1017	BOT	PA5	Wood Drill Bits	1609432609	Anti-Theft Device   SENSTAG ZLAPX7K51	Buyout(all entities)	PS/PE	1.0	PCode_827864	Unassigned
36733854	HSAS5003	BOT	PA5	Wood Drill Bits	1609432609	Anti-Theft Device   SENSTAG ZLAPX7K51	Buyout(all entities)	PS/PE	1.0	PCode_827864	Unassigned
65308773	SDS plus-3 HFT set	PRL	PA1	HammerDrillingsmall	6801017003	Label               Adhesive-Label Set C	HzP3 (Hangzhou AC)	PAPER	2.0	PCode_657179	Unassigned
65308773	SDS plus-3 HFT set	PRL	PA1	HammerDrillingsmall	6035586849	Label               TTM04195	HzP3 (Hangzhou AC)	80G ADHENSIVE PAPER	5.0	PCode_440854	Unassigned
65308773	SDS plus-3 HFT set	PRL	PA1	HammerDrillingsmall	6035587195	Label               TTM04195	HzP3 (Hangzhou AC)	80G ADHENSIVE PAPER	1.0	PCode_440854	Unassigned
65308773	SDS plus-3 HFT set	PRL	PA1	HammerDrillingsmall	6035578191	Plastic Tube Bottom Part	HzP3 (Hangzhou AC)	PVC	18.0	PCode_252685	Unassigned
65308773	SDS plus-3 HFT set	PRL	PA1	HammerDrillingsmall	6035578190	Plastic Tube Top Part	HzP3 (Hangzhou AC)	PVC	19.0	PCode_439983	Unassigned
65308773	SDS plus-3 HFT set	PRL	PA1	HammerDrillingsmall	6035578268	Carton	HzP3 (Hangzhou AC)	CORRUGATED	269.0	PCode_371365	Unassigned
72306686	GBM LOCHSAEG 25	BOT	PA2	Holesaws	6035738255	Corrugated carton   MODUL IV	Krk (ECF Krsko)	WELLKARTON  QUAL.332		PCode_304109	Unassigned
72306686	GBM LOCHSAEG 25	BOT	PA2	Holesaws	6035940770	Adhesive Label	Krk (ECF Krsko)	WOOD FREE	0.35	PCode_451168	Unassigned
38953855	AS 60 T INOX BF	BOT	PA5	Metal Grinding	6035900540	Shrink film	Buyout(all entities)	SHRINK FOIL	3.2	PCode_921638	Unassigned
68632823	Diamantbohrkrone	BOT	PA1	DiamondDiscs/CoreBit	6035803531	Pouch	Buyout(all entities)	LDPE - 50MICRONS	1.08	PCode_986549	Unassigned
68632823	Diamantbohrkrone	BOT	PA1	DiamondDiscs/CoreBit	60359106JR	Label	Buyout(all entities)	ART PAPER	2.0	PCode_440854	Unassigned
76602174	MGX0450	BOT	PA5	System AC+Others	2610050152	Corrugated carton   275x180x85mm	Lct (Lincolnton)	CORRUGATED	143.07	PCode_304109	Unassigned
76602174	MGX0450	BOT	PA5	System AC+Others	2610053522	Folding Carton      MGX0450	Lct (Lincolnton)	SBS	8.0	PCode_221631	Unassigned
32779740	MGX0500	BOT	PA5	System AC+Others	2610053523	Folding Carton      MGX0500 CTN	Lct (Lincolnton)	SBS	8.0	PCode_221631	Unassigned
32779740	MGX0500	BOT	PA5	System AC+Others	2610050152	Corrugated carton   275x180x85mm	Lct (Lincolnton)	CORRUGATED	143.07	PCode_304109	Unassigned
82267581	MGX0100	BOT	PA5	System AC+Others	2610050501	Corrugated carton   MP	Lct (Lincolnton)	CORRUGATED	57.96	PCode_304109	Unassigned
82267581	MGX0100	BOT	PA5	System AC+Others	1609427144	Plastic Bag         3.7X 8.7X.002 POLY	Lct (Lincolnton)	PE	4.0	PCode_170045	Unassigned
18640175	DMACW0400	DIA	PA1	DiamondDiscs/CoreBit	6035703H78	Folding card	Buyout(all entities)	ART PAPER	5.7	PCode_372092	Unassigned
18640175	DMACW0400	DIA	PA1	DiamondDiscs/CoreBit	6035834T31	Blister hood	Buyout(all entities)	PVC	22.0	PCode_802021	Unassigned
18640175	DMACW0400	DIA	PA1	DiamondDiscs/CoreBit	6035765M67	Corrugated carton	Buyout(all entities)	PAPER/CARDBOARD		PCode_304109	Unassigned
18640175	DMACW0400	DIA	PA1	DiamondDiscs/CoreBit	6035765M70	Corrugated carton	Buyout(all entities)	PAPER/CARDBOARD	550.0	PCode_304109	Unassigned
18640175	DMACW0400	DIA	PA1	DiamondDiscs/CoreBit	2610910163	Sensor module	Buyout(all entities)	PLASTIC	0.4	PCode_516518	Unassigned
18640175	DMACW0400	DIA	PA1	DiamondDiscs/CoreBit	6035910N31	Label	Buyout(all entities)	WOOD FREE	0.42	PCode_440854	Unassigned
42238638	DMACW0450	DIA	PA1	DiamondDiscs/CoreBit	6035703H79	Folding card	Buyout(all entities)	ART PAPER	5.7	PCode_372092	Unassigned
42238638	DMACW0450	DIA	PA1	DiamondDiscs/CoreBit	6035765M71	Corrugated carton	Buyout(all entities)	PAPER/CARDBOARD	550.0	PCode_304109	Unassigned
42238638	DMACW0450	DIA	PA1	DiamondDiscs/CoreBit	6035765M68	Corrugated carton	Buyout(all entities)	PAPER/CARDBOARD		PCode_304109	Unassigned
42238638	DMACW0450	DIA	PA1	DiamondDiscs/CoreBit	2610910163	Sensor module	Buyout(all entities)	PLASTIC	0.4	PCode_516518	Unassigned
42238638	DMACW0450	DIA	PA1	DiamondDiscs/CoreBit	6035910N31	Label	Buyout(all entities)	WOOD FREE	0.42	PCode_440854	Unassigned
54695892	DMACW0700	DIA	PA1	DiamondDiscs/CoreBit	6035703H80	Folding card	Buyout(all entities)	ART PAPER	12.2	PCode_372092	Unassigned
54695892	DMACW0700	DIA	PA1	DiamondDiscs/CoreBit	6035765M69	Corrugated carton	Buyout(all entities)	PAPER/CARDBOARD		PCode_304109	Unassigned
54695892	DMACW0700	DIA	PA1	DiamondDiscs/CoreBit	6035765M72	Corrugated carton	Buyout(all entities)	PAPER/CARDBOARD	600.0	PCode_304109	Unassigned
54695892	DMACW0700	DIA	PA1	DiamondDiscs/CoreBit	2610910163	Sensor module	Buyout(all entities)	PLASTIC	0.4	PCode_516518	Unassigned
54695892	DMACW0700	DIA	PA1	DiamondDiscs/CoreBit	6035910N31	Label	Buyout(all entities)	WOOD FREE	0.42	PCode_440854	Unassigned
81181275	Clamped	PRB	PA4	Coated Abr/Polishing	6035703P36	Die cut folder	Buyout(all entities)	GD2	22.0	PCode_588333	Unassigned
26445274	Clamped	PRB	PA4	Coated Abr/Polishing	6035703P37	Die cut folder	Buyout(all entities)	GD2	15.0	PCode_588333	Unassigned
93321675	Screen	PRB	PA4	Coated Abr/Polishing	6035765T33	Folding Carton	Buyout(all entities)	PAPER/CARDBOARD	26.0	PCode_221631	Unassigned
81980906	Screen	PRB	PA4	Coated Abr/Polishing	6035765U00	Folding Carton	Buyout(all entities)	PAPER/CARDBOARD	26.0	PCode_221631	Unassigned
14145279	Screen	PRB	PA4	Coated Abr/Polishing	6035765T35	Folding Carton	Buyout(all entities)	PAPER/CARDBOARD	37.0	PCode_221631	Unassigned
79521836	Expert for Metal P12	BOT	PA4	Coated Abr/Polishing	60357037NW	Label	Buyout(all entities)	CHROMOCARDBOARD	0.85	PCode_440854	Unassigned
24614403	Best for Metal P24	BOT	PA4	Coated Abr/Polishing	60357037RF	Label	Buyout(all entities)	CHROMOCARDBOARD	1.0	PCode_440854	Unassigned
81874106	Best for Metal P80	BOT	PA4	Coated Abr/Polishing	60357037RF	Label	Buyout(all entities)	CHROMOCARDBOARD	1.0	PCode_440854	Unassigned
52534520	Best for Metal P100	BOT	PA4	Coated Abr/Polishing	60357037RF	Label	Buyout(all entities)	CHROMOCARDBOARD	1.0	PCode_440854	Unassigned
93385943	Best for Metal P120	BOT	PA4	Coated Abr/Polishing	60357037RF	Label	Buyout(all entities)	CHROMOCARDBOARD	1.0	PCode_440854	Unassigned
16381001	Bosch C411 SF Disc 1	BOT	PA4	Coated Abr/Polishing	6035580291	Folding Box	Gzh (siaCN Guangzh.)	CORRUGATED	77.0	PCode_304224	Unassigned
16381001	Bosch C411 SF Disc 1	BOT	PA4	Coated Abr/Polishing	6035580291	Folding Box	Gzh (siaCN Guangzh.)	CORRUGATED	77.0	PCode_304224	Unassigned
16381001	Bosch C411 SF Disc 1	BOT	PA4	Coated Abr/Polishing	6035949P82	Label	Gzh (siaCN Guangzh.)	COATED ART PAPER	1.5	PCode_440854	Unassigned
16381001	Bosch C411 SF Disc 1	BOT	PA4	Coated Abr/Polishing	6035949P82	Label	Gzh (siaCN Guangzh.)	COATED ART PAPER	1.5	PCode_440854	Unassigned
16808367	Bosch C411 SF Disc 1	BOT	PA4	Coated Abr/Polishing	6035580291	Folding Box	Gzh (siaCN Guangzh.)	CORRUGATED	77.0	PCode_304224	Unassigned
16808367	Bosch C411 SF Disc 1	BOT	PA4	Coated Abr/Polishing	6035580291	Folding Box	Gzh (siaCN Guangzh.)	CORRUGATED	77.0	PCode_304224	Unassigned
16808367	Bosch C411 SF Disc 1	BOT	PA4	Coated Abr/Polishing	6035949P82	Label	Gzh (siaCN Guangzh.)	COATED ART PAPER	1.5	PCode_440854	Unassigned
16808367	Bosch C411 SF Disc 1	BOT	PA4	Coated Abr/Polishing	6035949P82	Label	Gzh (siaCN Guangzh.)	COATED ART PAPER	1.5	PCode_440854	Unassigned
24586042	Bosch C411 SF Disc 1	BOT	PA4	Coated Abr/Polishing	6035580291	Folding Box	Gzh (siaCN Guangzh.)	CORRUGATED	77.0	PCode_304224	Unassigned
24586042	Bosch C411 SF Disc 1	BOT	PA4	Coated Abr/Polishing	6035580291	Folding Box	Gzh (siaCN Guangzh.)	CORRUGATED	77.0	PCode_304224	Unassigned
24586042	Bosch C411 SF Disc 1	BOT	PA4	Coated Abr/Polishing	6035949P82	Label	Gzh (siaCN Guangzh.)	COATED ART PAPER	1.5	PCode_440854	Unassigned
24586042	Bosch C411 SF Disc 1	BOT	PA4	Coated Abr/Polishing	6035949P82	Label	Gzh (siaCN Guangzh.)	COATED ART PAPER	1.5	PCode_440854	Unassigned
91845074	DMADC0400	DIA	PA1	DiamondDiscs/CoreBit	6035703G50	Folding card	Buyout(all entities)	ART PAPER	6.3	PCode_372092	Unassigned
91845074	DMADC0400	DIA	PA1	DiamondDiscs/CoreBit	6035911903	Label	Buyout(all entities)	PET	0.3	PCode_440854	Unassigned
91845074	DMADC0400	DIA	PA1	DiamondDiscs/CoreBit	2610957935	Clamshell	Buyout(all entities)	PVC	22.0	PCode_344348	Unassigned
91845074	DMADC0400	DIA	PA1	DiamondDiscs/CoreBit	2610910163	Sensor module	Buyout(all entities)	PLASTIC	0.4	PCode_516518	Unassigned
